     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         6,         0,         0,    2.46,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    8.18,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         4,         0,         0,    2.30,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    1.48,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    8.27,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,   0.901,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    8.74,bp30+osd,1b824edc254fa50055f2070d1bc2078a5a52e7eb507f80594df2e0b0c293f676,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,   0.880,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         4,         0,         0,    2.27,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    1.07,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         8,         0,         0,    3.73,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         3,         0,         0,    1.71,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.19,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    14.1,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         6,         0,         0,    3.26,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         3,         0,         0,    1.87,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.963,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
